Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Buy Rent Shelters,"General Mathenge, Westlands","KSh 155,000",/listings/4-bedroom-apartment-for-rent-general-mathenge-3468257,4.0,4.0,4.0
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3419825,300.0,3.0,4.0
Absolute Estate Agents,"Hatheru Rd,, Lavington, Dagoretti North","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3418990,3.0,3.0,5.0
A1 Properties Limited,"Kilimani, Dagoretti North","KSh 135,000",/listings/3-bedroom-apartment-for-rent-kilimani-2-3459155,227.0,3.0,4.0
Pmc Estates Limited,"Imara Daima, Embakasi","KSh 50,000",/listings/3-bedroom-apartment-for-rent-imara-daima-3441143,3.0,3.0,
Lizmor Properties,"Waiyaki Way, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-waiyaki-way-3427202,2.0,2.0,
Mambo Properties Enterprise,"Off Denis Pritt, Kilimani, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3456073,14.0,2.0,3.0
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-2-3452240,186.0,3.0,3.0
Pmc Estates Limited,"Thika Road, Thika Road","KSh 85,000",/listings/4-bedroom-apartment-for-rent-thika-road-3463559,4.0,4.0,
Naftal Properties,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465717,2.0,2.0,2.0
